objectid,title,description,orthography,orthography_tone,ipa,part_of_speech,semantic_domain,tone_melody,syllable_structure,phonation_type,english,spanish,speaker,notes,object_location,format,display_template
kiji-02,kìjî,my name,kiji,kìjî,[kìʰî],noun,,LF,CVhV,aspirated,my name,mi nombre,LA,Said,objects/mi_nombre.wav,audio/wav,audio
kiji-nuun-01,kìjǐ nùún,the first day of,kiji nuun,kìjǐ nùún,,noun,times and seasons,,CVhV CVV,aspirated,the first day of,el primer día de,RDC,Said,objects/el_primer_dia.wav,audio/wav,audio
kijun-01,kìjǔn,your name,kijun,kìjǔn,[kìʰǔn],noun,,LR,CVhV,aspirated,your name,tu nombre,LA,Said,objects/tu_nombre.wav,audio/wav,audio
kimi-01,kimi,star,kimi,kimi,[kimi],noun,landscape and environment,MM,CVCV,modal,star,lucero,NGC,,objects/lucero.wav,audio/wav,audio
kini-01,kini,ugly,kini,kini,[kĩī],adjective,descriptions,MM,CVV,modal,ugly,feo,,,,,
kinin-01,kînìn,pig,kinin,kînìn,[kînĩ̀],noun,domesticated animals,FL,CVCV,modal,pig,puerco,,puerco.wav,objects/cerdo.wav,audio/wav,audio
kinin-yuku-01,kînìn yūkǔ,wild boar,kinin yuku,kînìn yūkǔ,[kînĩ̀ jūkǔ],noun,wild animals,FL MR,CVCV CVCV,modal,wild boar,jabalí,JGO,,,,
kintojo-01,kìntòjo,stay ,kintojo,kìntòjo,[kìⁿtòʰo],verb (completive),Actions and activities,LLM,CVCVhV,aspirated,stay ,permanecer ,,,,,
kintojo-02,kíntòjo,stay ,kintojo,kíntòjo,[kíⁿtòʰo],verb (continuative),Actions and activities,HLM,CVCVhV,aspirated,stay ,permanecer ,,,,,
kintojo-03,kintòjo,stay ,kintojo,kintòjo,[kiⁿtòʰo],verb (potential),Actions and activities,MLM,CVCVhV,aspirated,stay ,permanecer ,,,,,
kintsika-01,kintsīkà,chest,kintsika,kintsīkà,,noun,body parts and the body,,,,chest,pecho,,,,,
kisi-01,kìsi,pot,kisi,kìsi,[kìsi],noun,"food, drink, and cooking",LM,CVCV,modal,pot,olla,LA,Said,objects/olla.wav,audio/wav,audio
kisi-02,kìsî,my pot,kisi,kìsî,[kìsî],noun,"food, drink, and cooking",LF,CVCV,modal,my pot,mi olla,LA,Said,objects/mi_olla.wav,audio/wav,audio
kisia-01,kìsià,their pot,kisia,kìsià,[kìsʲà],noun,"food, drink, and cooking",LLM,CVCV,modal,their pot,su olla,LA,Said,objects/su_olla.wav,audio/wav,audio
kisie-01,kìsiě,our pot,kisie,kìsiě,[kìsʲě],noun,"food, drink, and cooking",LR,CVCV,modal,our pot,nuestra olla,LA,Said,objects/nuestra_olla.wav,audio/wav,audio
kisiun-01,kìsiǔn,your pot,kisiun,kìsiǔn,[kìsʲũ̌],noun,"food, drink, and cooking",LR,CVCV,modal,your pot,tu olla,LA,Said,objects/tu_olla.wav,audio/wav,audio
kita-a-01,kítá'ǎ,accompanies,kita'a,kítá'ǎ,[kítáˀǎ],verb,Actions and activities,HHR,CVCV?V,glottalized,accompanies,acompaña,,,objects/acompaña.wav,audio/wav,audio
kita-an-01,kìtǎ'àn,gather/join together ,kita'an,kìtǎ'àn,[kìtǎˀa᷈̀],verb (completive),Actions and activities,LRL,CVCV?V,glottalized,gather/join together ,reunir ,,,,,
kita-an-02,kítá'an,gather/join together ,kita'an,kítá'an,[kítáˀã],verb (continuative),Actions and activities,HHM,CVCV?V,glottalized,gather/join together ,reunir ,,,,,
kita-an-03,kitá'an,gather/join together ,kita'an,kitá'an,[kitáˀa᷈],verb (potential),Actions and activities,MHM,CVCV?V,glottalized,gather/join together ,reunir ,,,,,
